visit.dir,visit.id,nrei.locs.csv,nrei.locs.shp,all.nrei.pts.csv,all.nrei.pts.shp,suit.nrei.pts.shp,suit.nrei.poly,suit.nrei.raster,ch.redd.locs.csv,ch.redd.locs.shp,ch.suit.poly,ch.raster,ch.juv.locs.csv,ch.juv.locs.shp,ch.juv.suit.poly,ch.juv.raster,st.redd.locs.csv,st.redd.locs.shp,st.suit.poly,st.raster,delft.raster,delft.poly,gut.run,gut.t2,gut.t2.trans,gut.t3
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_3297,3297,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GUT_2.1/Run_01,Yes,Yes,Yes
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_3413,3413,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,GUT_2.1/Run_01,Yes,Yes,Yes
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_3415,3415,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,GUT_2.1/Run_01,Yes,Yes,Yes
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_3432,3432,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,GUT_2.1/Run_01,Yes,Yes,Yes
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_3464,3464,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,GUT_2.1/Run_01,Yes,Yes,Yes
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_3466,3466,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GUT_2.1/Run_01,Yes,Yes,Yes
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_3501,3501,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GUT_2.1/Run_01,Yes,Yes,Yes
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_3512,3512,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GUT_2.1/Run_01,Yes,Yes,Yes
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_3528,3528,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GUT_2.1/Run_01,Yes,Yes,Yes
C:/etal/Shared/Projects/USA/GUTUpscale/wrk_Data/VISIT_3615,3615,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,GUT_2.1/Run_01,Yes,Yes,Yes
