GU,GUKey,UnitID,Area,AreainDelft,No.Fish,No.FishBest,SuitArea,BestArea,MedModelVal,MedModelValBest,visit
Bank,Bk,2,24.48000232,4.46065281,0,NA,0,NA,-30.78830858,NA,1164
Bank,Bk,3,15.59000148,6.109159421,0,NA,0,NA,-35.24193153,NA,1164
Bank,Bk,4,12.52000119,3.150360052,0,NA,0,NA,-34.68222158,NA,1164
Bank,Bk,8,2.630000249,0.279945656,0,NA,0,NA,-35.60315988,NA,1164
Bank,Bk,9,23.00000219,1.390496031,0,NA,0,NA,-35.88935033,NA,1164
Bank,Bk,10,2.620000249,0.099985933,0,NA,0,NA,-38.84820028,NA,1164
Glide-Run,GR,12,85.92511316,74.20956941,10,7,26.31001524,11.00014223,-0.567484771,37.09547688,1164
Glide-Run,GR,13,142.2532967,127.1197377,13,4,22.20009964,3.000107041,-10.52208668,33.31181994,1164
Glide-Run,GR,15,82.33000782,71.94941029,13,7,26.3800606,10.35009034,0.902042193,36.19105197,1164
Margin Attached Bar,Br,16,39.33000374,0.009994701,NA,NA,NA,NA,NA,NA,1164
Margin Attached Bar,Br,19,17.56000167,0.009997452,NA,NA,NA,NA,NA,NA,1164
Margin Attached Bar,Br,21,8.21000078,1.650110419,0,NA,0,NA,-24.84197423,NA,1164
Margin Attached Bar,Br,22,36.8200035,1.089910293,0,NA,0,NA,-30.41252279,NA,1164
Margin Attached Bar,Br,25,12.15000115,0.360038827,0,NA,0,NA,-36.95538662,NA,1164
Margin Attached Bar,Br,26,5.550000528,0.159961585,0,NA,0,NA,-34.33082425,NA,1164
Pocket Pool,Pk,30,0.910000086,0.910000085,1,1,0.910000085,0.719965243,35.77049026,37.70263835,1164
Pocket Pool,Pk,31,1.820000173,1.820000176,1,1,1.820007826,1.819992525,46.29357591,46.29357591,1164
Pocket Pool,Pk,33,1.130000107,1.130000112,2,2,1.130000112,1.130000112,65.93096948,65.93096948,1164
Pocket Pool,Pk,34,1.210000115,1.210000122,2,2,1.209991393,1.139966742,59.98327664,60.20643241,1164
Pocket Pool,Pk,35,1.300000124,0.040005486,0,NA,4.39E-06,NA,-8.180352005,NA,1164
Pool,Po,36,3.090000294,3.090000285,1,1,3.090000285,3.069975305,55.42817256,55.54404091,1164
Pool,Po,37,7.330000696,7.330000691,4,4,7.230006015,6.949926579,66.0115381,67.31029887,1164
Pool,Po,38,5.930000563,5.930000542,5,4,5.910009577,5.789999637,62.17427863,62.56475788,1164
Pool,Po,39,2.920000278,2.92000028,3,3,2.920000279,2.919973799,60.34205474,60.34205474,1164
Pool,Po,40,7.830000744,7.830000755,4,3,6.549946843,3.939941285,29.02068458,40.39030297,1164
Pool,Po,41,7.920000754,7.920000764,6,5,6.79999604,6.009993201,41.83417332,47.38692134,1164
Pool,Po,42,3.020000287,3.020000292,2,2,3.020000292,2.899972555,53.70789477,53.97566283,1164
Rapid,Ra,43,12.47000119,12.40001794,3,2,3.199971372,0.459981891,-11.59127749,48.47226909,1164
Rapid,Ra,44,35.66000338,25.23012614,3,2,6.070032261,2.630026093,-8.296308671,30.13815444,1164
Riffle,Rf,45,1.710000162,1.71000016,0,0,0.569991503,0.119999132,-11.22166612,31.59354894,1164
Riffle,Rf,46,6.510000618,6.3999672,2,1,2.479953757,0.529977727,-4.209229048,34.76420473,1164
Transition,Tr,47,25.95000247,11.73960342,0,NA,0,NA,-33.61785868,NA,1164
Transition,Tr,48,24.89000237,8.460859142,0,NA,0,NA,-30.84495971,NA,1164
Transition,Tr,49,13.6300013,3.379427632,0,NA,0,NA,-32.10942981,NA,1164
Transition,Tr,50,132.2566619,20.46026193,0,NA,1.309981628,NA,-30.0323021,NA,1164
Bank,Bk,2,1.050000099,1.03E-06,NA,NA,NA,NA,NA,NA,1175
Bank,Bk,4,12.59000119,6.910423219,0,NA,0.0600699,8.32E-06,-28.81234231,NA,1175
Bank,Bk,5,13.38000127,0.910075423,0,NA,0,NA,-31.96088322,NA,1175
Bank,Bk,6,8.430000801,0.599878389,0,NA,0,NA,-35.26616877,NA,1175
Bank,Bk,7,9.90000094,3.410270018,0,NA,0,NA,-32.34255575,NA,1175
Bank,Bk,8,8.079960769,0.749903165,0,NA,0,NA,-33.87215476,NA,1175
Bank,Bk,9,0.960000091,0.070013015,0,NA,0,NA,-36.91381794,NA,1175
Bank,Bk,10,18.42000175,7.7999769,0,NA,0.019994037,NA,-29.96392098,NA,1175
Bank,Bk,11,16.38000156,0.28998058,0,NA,0,NA,-36.88157237,NA,1175
Glide-Run,GR,13,202.383567,189.2109649,18,11,30.02004973,6.400252847,-10.92357515,23.36266933,1175
Glide-Run,GR,14,23.39000357,18.2100152,1,1,1.799952825,0.119981977,-23.60178545,26.25445371,1175
Glide-Run,GR,15,10.07000096,10.07000095,1,1,3.470021222,0.640035481,-4.398159909,24.24239634,1175
Glide-Run,GR,17,46.49000442,41.25997249,4,2,11.71006073,2.090088566,-7.84340362,24.04724459,1175
Margin Attached Bar,Br,18,6.700000637,0.270091274,0,NA,0,NA,-34.61417614,NA,1175
Margin Attached Bar,Br,19,1.560000148,1.59E-05,NA,NA,NA,NA,NA,NA,1175
Margin Attached Bar,Br,20,14.37000137,0.05998193,NA,NA,NA,NA,NA,NA,1175
Margin Attached Bar,Br,21,4.590000437,2.130059975,0,NA,0,NA,-35.00705806,NA,1175
Margin Attached Bar,Br,22,35.28000335,0.260021464,0,NA,0,NA,-35.78182918,NA,1175
Margin Attached Bar,Br,23,4.516837333,1.05E-06,NA,NA,NA,NA,NA,NA,1175
Margin Attached Bar,Br,25,34.7100033,0.010002964,NA,NA,NA,NA,NA,NA,1175
Margin Attached Bar,Br,26,2.460000234,0.100006439,NA,NA,NA,NA,NA,NA,1175
Margin Attached Bar,Br,27,4.860000462,0.140035217,0,NA,0,NA,-35.61054396,NA,1175
Margin Attached Bar,Br,28,26.81000255,0.11998223,0,NA,0,NA,-35.27451812,NA,1175
Margin Attached Bar,Br,29,2.390000227,1.220010614,0,NA,0,NA,-32.66840803,NA,1175
Margin Attached Bar,Br,30,9.070000862,0.469995482,0,NA,0,NA,-34.69541601,NA,1175
Margin Attached Bar,Br,31,27.29000259,0.140089969,NA,NA,NA,NA,NA,NA,1175
Margin Attached Bar,Br,33,2.580000243,0.07998638,NA,NA,NA,NA,NA,NA,1175
Mid Channel Bar,Bc,34,17.39000165,2.65019153,0,NA,0,NA,-36.2708186,NA,1175
Mid Channel Bar,Bc,35,6.470000615,1.120079572,0,NA,0,NA,-36.21711386,NA,1175
Mid Channel Bar,Bc,36,3.110000296,0.370028959,0,NA,0,NA,-36.91191818,NA,1175
Mid Channel Bar,Bc,37,45.93000436,0.190016911,NA,NA,NA,NA,NA,NA,1175
Mid Channel Bar,Bc,39,14.7000014,0.049995195,NA,NA,NA,NA,NA,NA,1175
Pocket Pool,Pk,40,0.770000073,0.34003311,0,NA,0,NA,-23.30200478,NA,1175
Pocket Pool,Pk,41,1.330000126,1.310006137,2,2,1.169992041,0.939998035,28.40964485,29.89797371,1175
Pocket Pool,Pk,42,1.010000096,1.010000097,1,1,0.419999072,0.04,0.769006083,19.81735367,1175
Pocket Pool,Pk,43,0.930000089,0.930000091,1,1,1.049972896,0.229999999,14.59754023,25.27652303,1175
Pocket Pool,Pk,44,0.640000061,0.640000059,1,1,0.640000059,0.599976423,23.21023049,23.67251296,1175
Pocket Pool,Pk,45,1.47000014,1.470000138,1,1,1.419961836,1.069970601,25.58509359,28.7215921,1175
Pocket Pool,Pk,46,1.190000114,1.190000107,1,1,1.190000107,0.909980511,24.54808477,25.58485734,1175
Pocket Pool,Pk,47,1.190000113,1.190000118,1,1,1.119967166,1.059956774,43.77431383,46.17592952,1175
Pocket Pool,Pk,48,0.680000065,0.680000068,1,0,0.680000068,0.010003344,13.11733907,20.97240661,1175
Pocket Pool,Pk,49,1.310000124,1.310000123,1,1,1.310000123,1.109984327,26.06662735,27.53023337,1175
