"","Unit","medArea","medPerim","avgArea","avgPerim","sdArea","sdPerim","totArea","totPerim","n","percArea","PeribyArea","visit"
"735","Pond",59.65,62.2,59.65,62.2,34.2946788875476,30.2641702347842,119.3,124.4,2,0.78,1.04,4000
"736","Pool",27.2,36.4,102.754545454545,54.9818181818182,234.982132783054,64.5706716425006,1130.3,604.8,11,7.37,0.54,4000
"737","Riffle",303.5,157.6,315.8,185.2,250.676424898713,136.705815531015,947.4,555.6,3,6.18,0.59,4000
"738","Transition",478.3,587,1079.025,921.8,1558.10586370118,1100.23378121803,4316.1,3687.2,4,28.13,0.85,4000
"739","Bank",112.7,109.6,270.871428571429,305.114285714286,289.293931923259,313.762136172034,1896.1,2135.8,7,9.52,1.13,4024
"740","Glide-Run",553.6,365.2,713.28,592.16,493.034752324823,548.142963103605,3566.4,2960.8,5,17.9,0.83,4024
"741","Margin Attached Bar",449.85,304.2,569.5,255,586.543855381432,182.53294027576,4556,2040,8,22.87,0.45,4024
"742","Pocket Pool",5,10.4,5,10.4,0,0,5,10.4,1,0.03,2.08,4024
"743","Pool",109.2,53.4,275.209090909091,100.072727272727,337.003214983316,100.735625187012,3027.3,1100.8,11,15.2,0.36,4024
"744","Riffle",104.9,73.2,230.285714285714,109.485714285714,267.174583550229,83.5508513535605,1612,766.4,7,8.09,0.48,4024
"745","Transition",1083.75,795.6,1314.225,865.2,1511.47092457425,965.490148404771,5256.9,3460.8,4,26.39,0.66,4024
"746","Bank",74.4,212,196.628571428571,310.085714285714,279.300052000745,393.14000656497,1376.4,2170.6,7,5.73,1.58,4086
"747","Chute",25.2,96.2,47.64,107.56,46.899125791426,24.2863747809343,238.2,537.8,5,0.99,2.26,4086
"748","Glide-Run",175.9,247.2,335.009090909091,318.909090909091,264.881952781028,204.14644476231,3685.1,3508,11,15.35,0.95,4086
"749","Margin Attached Bar",318.15,260,428.066666666667,292.933333333333,442.487901152864,265.836541255461,2568.4,1757.6,6,10.7,0.68,4086
"750","Mid Channel Bar",59,40.6,536.528571428571,231.885714285714,895.718059648767,356.473970197785,3755.7,1623.2,7,15.64,0.43,4086
"751","Pocket Pool",5.15,12.5,5.15,12.5,0.353553390593274,0.141421356237309,10.3,25,2,0.04,2.43,4086
"752","Pool",138.5,82,215.675,95.3,267.323632824834,86.8758808108825,3450.8,1524.8,16,14.37,0.44,4086
"753","Riffle",202.1,109.4,319.985714285714,135.228571428571,333.783300104381,74.4707037316401,2239.9,946.6,7,9.33,0.42,4086
"754","Transition",126.75,265.8,835.25,574.45,1684.0059526532,912.781223983679,6682,4595.6,8,27.83,0.69,4086
"755","Bank",18.5,58.2,33.4375,100.3875,38.970602167959,103.240056018324,535,1606.2,16,7.02,3,4147
"756","Chute",0,0.3,12.1,21.7387096774194,32.3576472156635,51.5314704972884,375.1,673.9,31,4.92,1.8,4147
"757","Glide-Run",324.3,367,344.95,437.65,234.924275033467,309.510825335722,2069.7,2625.9,6,27.17,1.27,4147
"758","Margin Attached Bar",24.75,47.5,45.9909090909091,72.2772727272727,46.879926754076,58.4236329531628,1011.8,1590.1,22,13.28,1.57,4147
"759","Mid Channel Bar",28.85,45.2,71.7357142857143,79.2785714285714,131.753905836968,121.419350748815,1004.3,1109.9,14,13.19,1.11,4147
"760","Pocket Pool",1.85,7.4,1.85,7.4,0.777817459305202,0.848528137423857,3.7,14.8,2,0.05,4,4147
"761","Pool",14.2,23.4,29.1925925925926,35.4074074074074,34.3721927628663,27.5170705888031,788.2,956,27,10.35,1.21,4147
"762","Riffle",104.6,76.2,107.05,76.95,97.9134822177212,54.2501305681993,428.2,307.8,4,5.62,0.72,4147
"763","Transition",23.5,65.6,66.7380952380952,175.719047619048,101.404691588656,259.752113791298,1401.5,3690.1,21,18.4,2.63,4147
