"RS","Condition","unit.type","variable","avg","sd","med","min","max","n"
"AF","mod","Mid Channel Bar","perim.area.ratio",1.9216,1.13024778011038,1.635,0.585,3.937,10
"AF","mod","Mid Channel Bar","perim.mean",23.5301,18.7753429822201,17.1,6.173,66.101,10
"AF","mod","Mid Channel Bar","perim.med",20.8901,18.3956499112033,16.5,5.9,66.101,10
"AF","mod","Mid Channel Bar","perim.sd",20.87225,27.0981989741543,8.7115,2.656,79.901,8
"AF","mod","Mid Channel Bar","perim.sum",92.8093,87.5026143381506,51.3,8,245.2,10
"AF","mod","Pocket Pool","area.mean",2.88125,1.26889222445121,2.556,1.275,6.22,12
"AF","mod","Pocket Pool","area.med",2.9,1.31157261608831,2.5525,1.275,6.22,12
"AF","mod","Pocket Pool","area.ratio",0.00333333333333333,0.00182574185835055,0.003,0.001,0.007,12
"AF","mod","Pocket Pool","area.sd",0.7835,0.612498979590987,0.659,0.346,2.659,12
"AF","mod","Pocket Pool","area.sum",13.9983333333333,5.61293608685789,13.495,2.55,24.57,12
"AF","mod","Pocket Pool","n",5.25,2.41679727964699,5.5,2,10,12
"AF","mod","Pocket Pool","perim.area.ratio",3.40075,0.835652398918463,3.502,1.994,5.333,12
"AF","mod","Pocket Pool","perim.mean",8.95675,1.58458116777675,8.73,6.8,12.4,12
"AF","mod","Pocket Pool","perim.med",8.74166666666667,1.72650900181069,8.6,6.1,12.4,12
"AF","mod","Pocket Pool","perim.sd",1.97625,0.8814338654096,2.081,0.915,3.527,12
"AF","mod","Pocket Pool","perim.sum",45.8,19.7730762769617,42.8,13.6,87,12
"AF","mod","Pond","area.mean",14.77375,8.15395341230253,12.345,7.87,26.535,4
"AF","mod","Pond","area.med",14.77375,8.15395341230253,12.345,7.87,26.535,4
"AF","mod","Pond","area.ratio",0.00675,0.00822090830342568,0.003,0.002,0.019,4
"AF","mod","Pond","area.sd",15.8145,19.9849589566754,15.8145,1.683,29.946,2
"AF","mod","Pond","area.sum",24.265,20.1792641094763,18.06,7.87,53.07,4
"AF","mod","Pond","n",1.5,0.577350269189626,1.5,1,2,4
"AF","mod","Pond","perim.area.ratio",2.2665,1.3243288866441,1.9535,1.093,4.066,4
"AF","mod","Pond","perim.mean",27.525,7.23296850078399,30.5,16.9,32.2,4
"AF","mod","Pond","perim.med",27.525,7.23296850078399,30.5,16.9,32.2,4
"AF","mod","Pond","perim.sd",12.516,15.9000030817607,12.516,1.273,23.759,2
"AF","mod","Pond","perim.sum",39,12.6922548561449,33,32,58,4
"AF","mod","Pool","area.mean",31.7956666666667,26.6665051544351,21.769,7.479,93.699,12
"AF","mod","Pool","area.med",19.37875,14.8977306272099,13.0725,5.31,51.11,12
"AF","mod","Pool","area.ratio",0.06025,0.0309578158731582,0.0535,0.021,0.123,12
"AF","mod","Pool","area.sd",33.1849166666667,36.7154560776851,17.032,5.643,120.151,12
